,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Dexter Bussey 1 yard rush (Steve Mike-Mayer kick),7,0
1,1.0,Bears,Johnny Musso 2 yard rush (Bob Thomas kick),7,7
2,2.0,Bears,Steve Schubert 70 yard punt return (Bob Thomas kick),7,14
3,2.0,Bears,Walter Payton 3 yard rush,7,20
4,2.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),7,27
5,2.0,Lions,Steve Mike-Mayer 35 yard field goal,10,27
6,3.0,Lions,Steve Mike-Mayer 38 yard field goal,13,27
7,4.0,Lions,Dexter Bussey 5 yard rush (Steve Mike-Mayer kick),20,27
8,4.0,Bears,Bob Thomas 35 yard field goal,20,30
