,Quarter,Tm,Detail,RAM,SFO
0,2.0,Rams,Bruce Gossett 17 yard field goal,3,0
1,2.0,49ers,Tommy Davis 50 yard field goal,3,3
2,2.0,49ers,Gary Lewis 3 yard rush (Tommy Davis kick),3,10
3,2.0,Rams,Tommy McDonald 10 yard pass from Bill Munson (Bruce Gossett kick),10,10
4,2.0,Rams,Roman Gabriel 3 yard rush (Bruce Gossett kick),17,10
5,3.0,49ers,Tommy Davis 39 yard field goal,17,13
6,3.0,Rams,Jack Snow 40 yard pass from Roman Gabriel (Bruce Gossett kick),24,13
7,4.0,Rams,Bruce Gossett 31 yard field goal,27,13
8,4.0,49ers,Ken Willard 8 yard pass from John Brodie (Tommy Davis kick),27,20
9,4.0,49ers,Dave Parks 15 yard pass from John Brodie (Tommy Davis kick),27,27
10,4.0,49ers,Tommy Davis 22 yard field goal,27,30
