,Quarter,Tm,Detail,BOS,NYJ
0,1.0,Patriots,Bill Rademacher 22 yard pass from Mike Taliaferro (Gino Cappelletti kick),7,0
1,1.0,Jets,Matt Snell 12 yard rush (Jim Turner kick),7,7
2,1.0,Patriots,Gino Cappelletti 39 yard field goal,10,7
3,2.0,Jets,Jim Turner 38 yard field goal,10,10
4,2.0,Patriots,John Charles 25 yard interception return (Gino Cappelletti kick),17,10
5,3.0,Jets,Jim Turner 32 yard field goal,17,13
6,4.0,Jets,Emerson Boozer 2 yard rush (Jim Turner kick),17,20
7,4.0,Jets,Jim Turner 13 yard field goal,17,23
