,Quarter,Tm,Detail,CHI,NYG
0,1,Bears,Bob Thomas 32 yard field goal,3,0
1,1,Giants,Joe Danelo 38 yard field goal,3,3
2,4,Giants,Joe Danelo 19 yard field goal,3,6
3,4,Bears,Robin Earl 4 yard rush,9,6
4,4,Giants,Joe Danelo 27 yard field goal,9,9
5,OT,Bears,Bob Thomas 28 yard field goal,12,9
