,Quarter,Tm,Detail,CLE,BAL
0,1.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),0,7
1,2.0,Colts,Raymond Chester 2 yard pass from Bert Jones (Toni Linhart kick),0,14
2,2.0,Colts,Lydell Mitchell 35 yard pass from Bert Jones (Toni Linhart kick),0,21
3,4.0,Browns,Hugh McKinnis 1 yard rush (Don Cockroft kick),7,21
