,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Jean Fugett 54 yard pass from Roger Staubach (Toni Fritsch kick),0,7
1,1.0,Giants,George Hunt 35 yard field goal,3,7
2,1.0,Cowboys,Doug Dennison 1 yard rush (Toni Fritsch kick),3,14
