,Quarter,Time,Tm,Detail,TAM,DAL
0,1.0,7:50,Buccaneers,Martin Gramatica 39 yard field goal,3,0
1,1.0,4:26,Cowboys,Tim Seder 22 yard field goal,3,3
2,3.0,11:42,Cowboys,Tim Seder 46 yard field goal,3,6
3,4.0,12:35,Buccaneers,Brad Johnson 1 yard rush (Martin Gramatica kick),10,6
