,Quarter,Tm,Detail,STL,BAL
0,2.0,Cardinals,Jim Bakken 41 yard field goal,3,0
1,3.0,Colts,Jim O'Brien 42 yard field goal,3,3
2,3.0,Cardinals,Donny Anderson 4 yard rush (Jim Bakken kick),10,3
