,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,12:05,Broncos,Knowshon Moreno 4 yard rush (Matt Prater kick),7,0
1,1.0,2:14,Chargers,Malcom Floyd 6 yard pass from Philip Rivers (Nate Kaeding kick),7,7
2,2.0,7:58,Chargers,Mike Tolbert 1 yard rush (Nate Kaeding kick),7,14
3,2.0,2:05,Chargers,Patrick Crayton 40 yard pass from Philip Rivers (Nate Kaeding kick),7,21
4,3.0,12:36,Chargers,Darren Sproles 57 yard pass from Philip Rivers (Nate Kaeding kick),7,28
5,4.0,14:16,Chargers,Jacob Hester 3 yard pass from Philip Rivers (Nate Kaeding kick),7,35
6,4.0,8:48,Broncos,Brandon Lloyd 13 yard pass from Kyle Orton (Matt Prater kick),14,35
