,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Eddie Murray 44 yard field goal,0,3
1,1.0,Lions,James Jones 1 yard rush (Eddie Murray kick),0,10
2,1.0,Packers,Al Del Greco 34 yard field goal,3,10
3,1.0,Packers,John Simmons special teams fumble recovery in end zone (Al Del Greco kick),10,10
4,1.0,Packers,Al Del Greco 48 yard field goal,13,10
5,2.0,Packers,Al Del Greco 24 yard field goal,16,10
6,2.0,Lions,Eddie Murray 30 yard field goal,16,13
7,2.0,Packers,Walter Stanley 21 yard pass from Randy Wright (Al Del Greco kick),23,13
8,2.0,Lions,Jeff Chadwick 23 yard pass from Joe Ferguson (Eddie Murray kick),23,20
9,3.0,Lions,Eddie Murray 32 yard field goal,23,23
10,3.0,Lions,Jimmie Giles 20 yard pass from Joe Ferguson (Eddie Murray kick),23,30
11,3.0,Lions,Carl Bland 10 yard pass from Joe Ferguson (Eddie Murray kick),23,37
12,3.0,Packers,Walter Stanley 36 yard pass from Randy Wright (Al Del Greco kick),30,37
13,4.0,Lions,Eddie Murray 19 yard field goal,30,40
14,4.0,Packers,Paul Ott Carruth 11 yard pass from Randy Wright (Al Del Greco kick),37,40
15,4.0,Packers,Walter Stanley 83 yard punt return (Al Del Greco kick),44,40
