,Quarter,Time,Tm,Detail,ARI,MIN
0,2,12:17,Vikings,Adrian Peterson 12 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2,12:04,Cardinals,LaRod Stephens-Howling 96 yard kickoff return (Jay Feely kick),7,7
2,2,6:22,Vikings,Ryan Longwell 21 yard field goal,7,10
3,2,0:29,Cardinals,Andre Roberts 30 yard pass from Derek Anderson (Jay Feely kick),14,10
4,3,14:48,Cardinals,Michael Adams 30 yard fumble return (Jay Feely kick),21,10
5,4,12:40,Cardinals,Jay Feely 22 yard field goal,24,10
6,4,3:34,Vikings,Adrian Peterson 4 yard rush (Ryan Longwell kick),24,17
7,4,0:27,Vikings,Visanthe Shiancoe 25 yard pass from Brett Favre (Ryan Longwell kick),24,24
8,OT,9:42,Vikings,Ryan Longwell 35 yard field goal,24,27
