,Quarter,Time,Tm,Detail,CHI,PHI
0,1.0,6:48,Eagles,Jake Elliott 28 yard field goal,0,3
1,2.0,13:25,Eagles,Jake Elliott 28 yard field goal,0,6
2,2.0,6:27,Eagles,Zach Ertz 25 yard pass from Carson Wentz (Jake Elliott kick failed),0,12
3,3.0,10:41,Eagles,Jordan Howard 13 yard rush (Jake Elliott kick),0,19
4,3.0,6:34,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),7,19
5,4.0,12:46,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),14,19
6,4.0,0:29,Eagles,Jake Elliott 38 yard field goal,14,22
