,Quarter,Tm,Detail,PIT,WAS
0,2.0,Redskins,Billy Wells 9 yard rush (Vic Janowicz kick),0,7
1,2.0,Steelers,Johnny Lattner 24 yard pass from Jim Finks (Ed Kissell kick),7,7
2,3.0,Redskins,Vic Janowicz 32 yard field goal,7,10
3,4.0,Redskins,Hugh Taylor 42 yard pass from Jack Scarbath (Vic Janowicz kick),7,17
4,4.0,Steelers,Elbie Nickel 4 yard pass from Jim Finks (Ed Kissell kick),14,17
