,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,"Safety, Wilson blocked Chandlers punt out of end zone",0,2
1,1.0,Giants,Del Shofner 44 yard pass from Y.A. Tittle (Pat Summerall kick),7,2
2,3.0,Giants,Alex Webster 1 yard rush (Pat Summerall kick),14,2
3,3.0,Giants,Sam Huff 12 yard defensive fumble return (Pat Summerall kick),21,2
4,3.0,Cardinals,Billy Stacy 80 yard pass from Ralph Guglielmi (Gerry Perry kick),21,9
5,3.0,Giants,Pat Summerall 37 yard field goal,24,9
