,Quarter,Tm,Detail,DEN,BUF
0,3.0,Bills,Carlton Bailey 11 yard interception return (Scott Norwood kick),0,7
1,4.0,Bills,Scott Norwood 44 yard field goal,0,10
2,4.0,Broncos,Gary Kubiak 3 yard rush (David Treadwell kick),7,10
