,Quarter,Tm,Detail,BUF,OAK
0,1.0,Bills,John Leypoldt 32 yard field goal,3,0
1,2.0,Bills,John Leypoldt 31 yard field goal,6,0
2,2.0,Bills,J.D. Hill 39 yard pass from Dennis Shaw (John Leypoldt kick),13,0
3,3.0,Raiders,Raymond Chester 55 yard pass from Daryle Lamonica (George Blanda kick),13,7
4,4.0,Bills,John Leypoldt 22 yard field goal,16,7
5,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),16,14
6,4.0,Raiders,Clarence Davis 7 yard rush (George Blanda kick),16,21
7,4.0,Raiders,Clarence Davis 20 yard rush (George Blanda kick),16,28
