,Quarter,Time,Tm,Detail,CHI,STL
0,1.0,10:05,Rams,Ernie Conwell 1 yard rush (Jeff Wilkins kick),0,7
1,2.0,14:10,Bears,Paul Edinger 37 yard field goal,3,7
2,2.0,6:15,Bears,Paul Edinger 48 yard field goal,6,7
3,2.0,0:42,Rams,Lamar Gordon 22 yard pass from Marc Bulger (Jeff Wilkins kick),6,14
4,3.0,9:23,Bears,Anthony Thomas 13 yard rush (Paul Edinger kick),13,14
5,4.0,9:01,Rams,Ricky Proehl 8 yard pass from Marc Bulger (Jeff Wilkins kick),13,21
6,4.0,3:48,Bears,Paul Edinger 50 yard field goal,16,21
