,Quarter,Time,Tm,Detail,BAL,SDG
0,2.0,,Ravens,Matt Stover 42 yard field goal,3,0
1,2.0,3:11,Chargers,Charlie Jones 47 yard pass from Craig Whelihan (John Carney kick),3,7
2,3.0,7:33,Ravens,Jermaine Lewis 58 yard pass from Jim Harbaugh (Matt Stover kick),10,7
3,4.0,7:33,Chargers,Terrell Fletcher 3 yard rush (John Carney kick),10,14
4,4.0,7:33,Ravens,Matt Stover 42 yard field goal,13,14
