,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Steve Van Buren 4 yard rush (Cliff Patton kick),0,7
1,1.0,Cardinals,Pat Harder 14 yard field goal,3,7
2,3.0,Cardinals,Charley Trippi 3 yard rush (Pat Harder kick),10,7
3,3.0,Cardinals,Paul Christman 1 yard rush (Pat Harder kick),17,7
4,4.0,Cardinals,Pat Harder 5 yard rush (Pat Harder kick),24,7
5,4.0,Cardinals,Charley Trippi 59 yard interception return (Pat Harder kick),31,7
6,4.0,Cardinals,Mal Kutner 56 yard interception return (Pat Harder kick),38,7
7,4.0,Eagles,Pete Pihos 66 yard pass from Tommy Thompson (Cliff Patton kick),38,14
8,4.0,Eagles,Russ Craft 32 yard pass from Tommy Thompson (Cliff Patton kick),38,21
9,4.0,Cardinals,Mal Kutner 21 yard pass from Paul Christman (Pat Harder kick),45,21
