,Quarter,Tm,Detail,NWE,DEN
0,1.0,Patriots,John Stephens 23 yard rush (Jason Staurovsky kick),7,0
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,7
2,2.0,Broncos,Tony Dorsett 5 yard rush (Rich Karlis kick),7,14
3,2.0,Patriots,Jason Staurovsky 32 yard field goal,10,14
4,4.0,Broncos,Sammy Winder 4 yard rush (Rich Karlis kick),10,21
