,Quarter,Tm,Detail,CLE,BCL
0,1.0,Browns,Dante Lavelli 38 yard pass from Otto Graham (Chubby Grigg kick),7,0
1,1.0,Browns,Chubby Grigg 19 yard field goal,10,0
2,1.0,Browns,Dub Jones 11 yard rush (Chubby Grigg kick),17,0
3,3.0,Browns,Dub Jones 60 yard rush (Chubby Grigg kick),24,0
4,4.0,Browns,Ken Carpenter 61 yard rush (Chubby Grigg kick),31,0
