,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Pete Stoyanovich 31 yard field goal,3,0
1,1.0,Patriots,Irving Fryar 22 yard pass from Steve Grogan (Jason Staurovsky kick),3,7
2,2.0,Dolphins,Pete Stoyanovich 37 yard field goal,6,7
3,2.0,Patriots,John Stephens 1 yard rush (Jason Staurovsky kick),6,14
4,2.0,Patriots,Marv Cook 35 yard pass from Steve Grogan (Jason Staurovsky kick),6,21
5,2.0,Dolphins,Tony Martin 35 yard pass from Dan Marino (Pete Stoyanovich kick),13,21
6,3.0,Dolphins,Sammie Smith 3 yard rush (Pete Stoyanovich kick),20,21
7,3.0,Patriots,Jason Staurovsky 42 yard field goal,20,24
8,4.0,Dolphins,Tony Paige 7 yard pass from Dan Marino (Pete Stoyanovich kick),27,24
