,Quarter,Tm,Detail,DET,ATL
0,1.0,Lions,Eddie Murray 43 yard field goal,3,0
1,1.0,Falcons,Frank Reed 16 yard blocked punt return (Tim Mazzetti kick),3,7
2,1.0,Falcons,Buddy Curry 30 yard defensive fumble return (Tim Mazzetti kick),3,14
3,1.0,Falcons,Tim Mazzetti 26 yard field goal,3,17
4,2.0,Falcons,Alfred Jenkins 43 yard pass from Steve Bartkowski (Tim Mazzetti kick),3,24
5,2.0,Falcons,Joel Williams 42 yard defensive fumble return (Tim Mazzetti kick),3,31
6,2.0,Falcons,Tim Mazzetti 33 yard field goal,3,34
7,2.0,Lions,Eddie Murray 32 yard field goal,6,34
8,3.0,Falcons,"Safety, Williams tackled Danielson in end zone",6,36
9,4.0,Lions,Freddie Scott 43 yard pass from Gary Danielson (Eddie Murray kick),13,36
10,4.0,Falcons,William Andrews 11 yard rush (Tim Mazzetti kick),13,43
11,4.0,Lions,Leonard Thompson 79 yard pass from Gary Danielson (Eddie Murray kick),20,43
12,4.0,Lions,Freddie Scott 6 yard pass from Gary Danielson,26,43
13,4.0,Lions,"Safety, Cole tackled R. Smith in end zone",28,43
