,Quarter,Time,Tm,Detail,DAL,IND
0,2.0,7:41,Cowboys,Billy Cundiff 21 yard field goal,3,0
1,2.0,1:54,Colts,Mike Vanderjagt 48 yard field goal,3,3
2,4.0,13:06,Colts,Mike Vanderjagt 32 yard field goal,3,6
3,4.0,4:18,Colts,Marvin Harrison 31 yard pass from Peyton Manning (Mike Vanderjagt kick),3,13
4,4.0,2:24,Colts,Marvin Harrison 1 yard pass from Peyton Manning (Mike Vanderjagt kick),3,20
