,Quarter,Tm,Detail,OAK,CLE
0,2.0,Browns,Bo Scott 3 yard rush (Don Cockroft kick),0,7
1,2.0,Browns,Leroy Kelly 22 yard pass from Bill Nelsen (Don Cockroft kick),0,14
2,2.0,Raiders,Raymond Chester 20 yard pass from Daryle Lamonica (George Blanda kick),7,14
3,2.0,Raiders,George Blanda 20 yard field goal,10,14
4,3.0,Browns,Don Cockroft 27 yard field goal,10,17
5,4.0,Browns,Don Cockroft 14 yard field goal,10,20
6,4.0,Raiders,Raymond Chester 13 yard pass from Daryle Lamonica (George Blanda kick),17,20
7,4.0,Raiders,Clarence Davis 5 yard rush (George Blanda kick),24,20
8,4.0,Raiders,George Blanda 26 yard field goal,27,20
9,4.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),34,20
