,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,,Colts,Mike Vanderjagt 22 yard field goal,0,3
1,1.0,,Colts,Mike Vanderjagt 33 yard field goal,0,6
2,2.0,,Colts,Mike Vanderjagt 43 yard field goal,0,9
3,2.0,,Bills,Jay Riemersma 7 yard pass from Doug Flutie (Steve Christie kick),7,9
4,2.0,0:59,Colts,Mike Vanderjagt 41 yard field goal,7,12
5,3.0,0:59,Bills,Kevin Williams 6 yard pass from Doug Flutie (Steve Christie kick),14,12
6,4.0,0:59,Bills,Antowain Smith 4 yard rush (Steve Christie kick),21,12
7,4.0,0:59,Bills,Antowain Smith 1 yard rush (Steve Christie kick),28,12
8,4.0,0:59,Bills,Steve Christie 39 yard field goal,31,12
9,4.0,0:59,Colts,Torrance Small 3 yard pass from Peyton Manning (pass failed),31,18
10,4.0,0:12,Colts,Marvin Harrison 25 yard pass from Peyton Manning (pass failed),31,24
