,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Horst Muhlmann 11 yard field goal,3,0
1,2.0,Oilers,Fred Willis 5 yard rush (Skip Butler kick),3,7
2,2.0,Oilers,Skip Butler 18 yard field goal,3,10
3,2.0,Bengals,Isaac Curtis 77 yard pass from Ken Anderson (Horst Muhlmann kick),10,10
4,2.0,Bengals,Horst Muhlmann 40 yard field goal,13,10
5,3.0,Bengals,Bob Trumpy 10 yard pass from Ken Anderson (Horst Muhlmann kick),20,10
6,3.0,Bengals,Isaac Curtis 67 yard pass from Ken Anderson (Horst Muhlmann kick),27,10
7,4.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),27,17
8,4.0,Oilers,Paul Robinson 1 yard rush (Skip Butler kick),27,24
