,Quarter,Tm,Detail,DEN,STL
0,1.0,Cardinals,Don Shy 5 yard pass from Jim Hart (Jim Bakken kick),0,7
1,2.0,Broncos,Riley Odoms 47 yard pass from Charley Johnson (Jim Turner kick),7,7
2,3.0,Cardinals,Jim Bakken 28 yard field goal,7,10
3,4.0,Broncos,Floyd Little 3 yard rush (Jim Turner kick),14,10
4,4.0,Cardinals,Donny Anderson 1 yard rush (Jim Bakken kick),14,17
5,4.0,Broncos,Jim Turner 12 yard field goal,17,17
