,Quarter,Tm,Detail,KEN,FRN
0,2.0,Yellow Jackets,Tex Hamer 6 yard rush (Russ Stein kick),0,7
1,2.0,Yellow Jackets,Milt O'Connell unknown yard pass from Tex Hamer (Russ Stein kick),0,14
2,3.0,Yellow Jackets,Jack Finn 35 yard field goal,0,17
3,4.0,Yellow Jackets,Jack Storer 15 yard rush (Jack Finn kick),0,24
4,4.0,Yellow Jackets,Jack Storer unknown yard rush (Jack Finn kick),0,31
5,4.0,Maroons,George Seasholtz unknown yard pass from Dick Vick,6,31
