,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Alex Hawkins 5 yard pass from Johnny Unitas (Lou Michaels kick),7,0
1,1.0,Lions,Pat Studstill 13 yard pass from Milt Plum (Wayne Walker kick),7,7
2,2.0,Lions,Amos Marsh 1 yard rush (Wayne Walker kick),7,14
3,2.0,Colts,Lou Michaels 42 yard field goal,10,14
4,2.0,Lions,Amos Marsh 62 yard rush (Wayne Walker kick),10,21
5,3.0,Lions,Wayne Walker 12 yard field goal,10,24
6,4.0,Colts,John Mackey 52 yard pass from Johnny Unitas (Lou Michaels kick),17,24
7,4.0,Colts,John Mackey 15 yard pass from Johnny Unitas (Lou Michaels kick),24,24
