,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Errol Mann 36 yard field goal,0,3
1,1.0,Vikings,Fred Cox 35 yard field goal,3,3
2,2.0,Vikings,Dave Osborn 14 yard rush (Fred Cox kick),10,3
3,2.0,Vikings,John Gilliam 40 yard pass from Fran Tarkenton (Fred Cox kick),17,3
4,3.0,Vikings,Fred Cox 37 yard field goal,20,3
5,3.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),27,3
6,3.0,Vikings,Dave Osborn 13 yard pass from Fran Tarkenton (Fred Cox kick),34,3
7,4.0,Lions,Altie Taylor 3 yard rush (Errol Mann kick),34,10
