,Quarter,Tm,Detail,CLE,DAL
0,1.0,Browns,Bobby Mitchell 46 yard pass from Milt Plum (Sam Baker kick),7,0
1,2.0,Browns,Jim Brown 5 yard rush (Sam Baker kick),14,0
2,2.0,Browns,Bobby Mitchell 30 yard rush (Sam Baker kick),21,0
3,2.0,Browns,Larry Stephens 34 yard interception return (Sam Baker kick),28,0
4,3.0,Browns,Bobby Mitchell 90 yard kickoff return (Sam Baker kick),35,0
5,3.0,Browns,Gern Nagler 6 yard pass from Milt Plum (Sam Baker kick),42,0
6,4.0,Browns,Jamie Caleb 5 yard rush,48,0
7,4.0,Cowboys,Billy Howton 12 yard pass from Don Heinrich (Fred Cone kick),48,7
