,Quarter,Time,Tm,Detail,BAL,SDG
0,2.0,13:11,Chargers,Nate Kaeding 27 yard field goal,0,3
1,2.0,9:59,Ravens,Willis McGahee 1 yard rush (Matt Stover kick),7,3
2,2.0,7:16,Chargers,Antonio Gates 35 yard pass from Philip Rivers,7,9
3,2.0,5:09,Chargers,Nate Kaeding 46 yard field goal,7,12
4,2.0,0:25,Chargers,Chris Chambers 5 yard pass from Philip Rivers (Nate Kaeding kick),7,19
5,2.0,0:03,Chargers,Nate Kaeding 41 yard field goal,7,22
6,3.0,11:30,Chargers,Antonio Gates 25 yard pass from Philip Rivers (Nate Kaeding kick),7,29
7,3.0,5:39,Ravens,Le'Ron McClain 13 yard pass from Kyle Boller (Matt Stover kick),14,29
8,4.0,8:41,Chargers,Nate Kaeding 41 yard field goal,14,32
