,Quarter,Tm,Detail,PRT,CHI
0,3.0,Bears,Luke Johnsos 33 yard field goal,0,3
1,4.0,Bears,Carl Brumbaugh 5 yard rush,0,9
2,4.0,Spartans,Bill McKalip 42 yard pass from Glenn Presnell,6,9
