,Quarter,Tm,Detail,NYG,BKN
0,2.0,Giants,Frank Reagan 4 yard rush (Ward Cuff kick),7,0
1,2.0,Dodgers,Perry Schwartz 12 yard pass from Ace Parker (Bruiser Kinard kick),7,7
2,2.0,Giants,Win Pedersen 27 yard field goal,10,7
3,3.0,Dodgers,Merl Condit 20 yard field goal,10,10
4,3.0,Giants,Ward Cuff 15 yard field goal,13,10
5,4.0,Dodgers,Pug Manders 5 yard rush,13,16
