,Quarter,Tm,Detail,NYG,BKN
0,2,Giants,Dale Burnett 7 yard pass from Ed Danowski (Ken Strong kick),7,0
1,3,Giants,Tod Goodwin 31 yard pass from Ed Danowski (Bo Molenda kick),14,0
2,4,Giants,Ike Frankian 10 yard fumble return (Bo Molenda kick),21,0
