,Quarter,Tm,Detail,WAS,RAM
0,1.0,Redskins,Don Irwin 4 yard rush,6,0
1,2.0,Rams,Ed Goddard 3 yard rush (Bob Snyder kick),6,7
2,3.0,Redskins,Riley Smith 22 yard field goal,9,7
3,3.0,Redskins,Riley Smith 4 yard rush (Riley Smith kick),16,7
