,Quarter,Time,Tm,Detail,MIA,CIN
0,1.0,8:05,Bengals,Peter Warrick 9 yard pass from Akili Smith (Neil Rackers kick),0,7
1,1.0,0:46,Bengals,Neil Rackers 23 yard field goal,0,10
2,2.0,13:13,Bengals,Neil Rackers 38 yard field goal,0,13
3,2.0,0:56,Dolphins,Olindo Mare 40 yard field goal,3,13
4,2.0,0:00,Dolphins,Jason Taylor 29 yard defensive fumble return (Olindo Mare kick),10,13
5,3.0,7:15,Dolphins,Lamar Smith 18 yard rush (Olindo Mare kick),17,13
6,3.0,4:39,Dolphins,Oronde Gadsden 7 yard pass from Jay Fiedler (Olindo Mare kick),24,13
7,4.0,12:26,Dolphins,Oronde Gadsden 21 yard pass from Jay Fiedler (Olindo Mare kick),31,13
8,4.0,7:26,Bengals,Neil Rackers 34 yard field goal,31,16
