,Quarter,Time,Tm,Detail,DEN,SDG
0,1,8:57,Broncos,Ed McCaffrey 2 yard pass from Brian Griese (Jason Elam kick),7,0
1,2,0:52,Chargers,Freddie Jones 26 yard pass from Jim Harbaugh (John Carney kick),7,7
2,3,6:16,Broncos,Ed McCaffrey 5 yard pass from Brian Griese (Jason Elam kick),14,7
3,4,1:25,Broncos,Dwayne Carswell 14 yard pass from Brian Griese (Jason Elam kick),21,7
