,Quarter,Tm,Detail,CHI,RAM
0,2.0,Rams,Aaron Martin 37 yard interception return,0,6
1,2.0,Bears,Rosey Taylor 60 yard blocked field goal return (Roger LeClerc kick),7,6
2,2.0,Bears,Gale Sayers 18 yard rush (Roger LeClerc kick),14,6
3,3.0,Rams,Bruce Gossett 10 yard field goal,14,9
4,3.0,Bears,Johnny Morris 80 yard pass from Rudy Bukich (Roger LeClerc kick),21,9
5,3.0,Bears,Jim Jones 17 yard pass from Rudy Bukich (Roger LeClerc kick),28,9
6,4.0,Rams,Bill Munson 1 yard rush (Bruce Gossett kick),28,16
7,4.0,Rams,Tommy McDonald 5 yard pass from Bill Munson (Bruce Gossett kick),28,23
8,4.0,Rams,Terry Baker 10 yard pass from Bill Munson (Bruce Gossett kick),28,30
