,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Andre Tillman 13 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,1.0,Oilers,Tim Wilson 13 yard pass from Dan Pastorini (Toni Fritsch kick),7,7
2,4.0,Oilers,Toni Fritsch 35 yard field goal,10,7
3,4.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),17,7
4,4.0,Dolphins,"Safety, Pastorini ran out of end zone",17,9
