,Quarter,Tm,Detail,MIA,KAN
0,1.0,Dolphins,Tony Nathan 5 yard rush (Uwe von Schamann kick),7,0
1,2.0,Chiefs,Al Dixon 2 yard pass from Steve Fuller (Nick Lowery kick),7,7
2,2.0,Dolphins,Uwe von Schamann 39 yard field goal,10,7
3,4.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),17,7
