,Quarter,Time,Tm,Detail,CHI,GNB
0,2.0,,Bears,Bobby Engram 15 yard pass from Dave Krieg (Jeff Jaeger kick),7,0
1,2.0,,Packers,Keith Jackson 19 yard pass from Brett Favre (Chris Jacke kick),7,7
2,3.0,,Packers,Desmond Howard 75 yard punt return (Chris Jacke kick),7,14
3,3.0,,Bears,Jeff Jaeger 34 yard field goal,10,14
4,4.0,,Packers,Dorsey Levens 10 yard rush (Chris Jacke kick),10,21
5,4.0,,Packers,Brett Favre 1 yard rush (Chris Jacke kick),10,28
6,4.0,,Bears,Bobby Engram 6 yard pass from Dave Krieg (Jeff Jaeger kick),17,28
