,Quarter,Tm,Detail,RAM,MIN
0,2.0,Vikings,Red Phillips 68 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,2.0,Vikings,Jim Lindsey 2 yard rush (Fred Cox kick),0,14
2,2.0,Vikings,Jim Lindsey 2 yard pass from Fran Tarkenton (Fred Cox kick),0,21
3,3.0,Vikings,Fran Tarkenton 2 yard rush (Fred Cox kick),0,28
4,4.0,Vikings,Paul Flatley 33 yard pass from Fran Tarkenton (Fred Cox kick),0,35
5,4.0,Rams,Dick Bass 1 yard rush (Bruce Gossett kick),7,35
