,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Chargers,Lance Alworth 9 yard pass from John Hadl (Dennis Partee kick),0,7
1,2.0,Chargers,Dennis Partee 42 yard field goal,0,10
2,2.0,Jets,George Sauer 21 yard pass from Joe Namath (Jim Turner kick),7,10
3,2.0,Chargers,Russ Smith 5 yard rush (Dennis Partee kick),7,17
4,2.0,Chargers,Gary Garrison 13 yard pass from John Hadl (Dennis Partee kick),7,24
5,2.0,Jets,Jim Turner 47 yard field goal,10,24
6,3.0,Jets,Jim Turner 37 yard field goal,13,24
7,3.0,Chargers,Dennis Partee 27 yard field goal,13,27
8,4.0,Jets,Emerson Boozer 1 yard rush (Jim Turner kick),20,27
9,4.0,Chargers,Gary Garrison 29 yard pass from John Hadl (Dennis Partee kick),20,34
10,4.0,Jets,George Sauer 14 yard pass from Joe Namath (Jim Turner kick),27,34
