,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Larry Hardy 23 yard pass from Dave Wilson (Morten Andersen kick),0,7
1,2.0,Buccaneers,Donald Igwebuike 38 yard field goal,3,7
2,2.0,Saints,Hoby Brenner 3 yard pass from Dave Wilson (Morten Andersen kick),3,14
3,2.0,Buccaneers,Donald Igwebuike 51 yard field goal,6,14
4,2.0,Saints,Morten Andersen 37 yard field goal,6,17
5,3.0,Saints,Morten Andersen 40 yard field goal,6,20
6,4.0,Buccaneers,Gerald Carter 22 yard pass from Steve DeBerg (Donald Igwebuike kick),13,20
