,Quarter,Time,Tm,Detail,CIN,NYG
0,2.0,,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),0,7
1,2.0,,Giants,Brad Daluiso 52 yard field goal,0,10
2,2.0,,Bengals,Carl Pickens 5 yard pass from Jeff Blake (Doug Pelfrey kick),7,10
3,2.0,,Giants,Howard Cross 8 yard pass from Dave Brown (Brad Daluiso kick),7,17
4,3.0,,Bengals,Doug Pelfrey 38 yard field goal,10,17
5,3.0,,Giants,Brad Daluiso 33 yard field goal,10,20
6,4.0,,Bengals,Carl Pickens 3 yard pass from Jeff Blake (Doug Pelfrey kick),17,20
7,4.0,,Bengals,Doug Pelfrey 23 yard field goal,20,20
8,4.0,,Giants,Rodney Hampton 3 yard rush (Brad Daluiso kick),20,27
