,Quarter,Tm,Detail,HOU,RAI
0,1.0,Raiders,Kenny King 2 yard rush,0,6
1,2.0,Raiders,Greg Pruitt 10 yard rush (Chris Bahr kick),0,13
2,2.0,Oilers,Florian Kempf 40 yard field goal,3,13
3,3.0,Oilers,Florian Kempf 38 yard field goal,6,13
4,4.0,Raiders,Todd Christensen 2 yard pass from Jim Plunkett (Chris Bahr kick),6,20
