,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Calvin Williams 18 yard pass from Keith Byars (Roger Ruzek kick),0,7
1,2.0,Cowboys,Ken Willis 46 yard field goal,3,7
2,2.0,Eagles,Roger Ruzek 29 yard field goal,3,10
3,4.0,Eagles,Eric Allen 35 yard interception return (Roger Ruzek kick),3,17
