,Quarter,Tm,Detail,MIN,ATL
0,2.0,Falcons,Greg McCrary 49 yard pass from Scott Hunter (Nick Mike-Mayer kick),0,7
1,2.0,Vikings,Sammy White 54 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,4.0,Vikings,Bob Tucker 6 yard pass from Fran Tarkenton (Fred Cox kick),14,7
