,Quarter,Time,Tm,Detail,SEA,CAR
0,1.0,4:50,Panthers,Donald Hayes 43 yard pass from Steve Beuerlein (Joe Nedney kick),0,7
1,2.0,11:36,Panthers,William Floyd 5 yard pass from Steve Beuerlein (Joe Nedney kick),0,14
2,2.0,2:05,Panthers,Joe Nedney 44 yard field goal,0,17
3,2.0,0:00,Panthers,Joe Nedney 42 yard field goal,0,20
4,3.0,4:05,Panthers,Joe Nedney 22 yard field goal,0,23
5,3.0,0:54,Seahawks,Rian Lindell 42 yard field goal,3,23
6,4.0,8:04,Panthers,Joe Nedney 29 yard field goal,3,26
