,Quarter,Tm,Detail,CLE,NOR
0,1.0,Saints,Hoby Brenner 5 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Browns,Clarence Weathers 7 yard pass from Bernie Kosar (Jeff Jaeger kick),7,7
2,3.0,Saints,Hoby Brenner 7 yard pass from Bobby Hebert (Morten Andersen kick),7,14
3,3.0,Browns,Brian Brennan 30 yard pass from Bernie Kosar (Jeff Jaeger kick),14,14
4,3.0,Saints,Dalton Hilliard 5 yard rush (Morten Andersen kick),14,21
5,4.0,Browns,Bernie Kosar 3 yard rush (Jeff Jaeger kick),21,21
6,4.0,Saints,"Safety, Clark tackled Kosar in end zone",21,23
7,4.0,Saints,"Safety, Maxie tackled Kosar in end zone",21,25
8,4.0,Saints,Morten Andersen 39 yard field goal,21,28
