,Quarter,Tm,Detail,CHI,BAL
0,2.0,Bears,Gale Sayers 59 yard rush (Mac Percival kick),7,0
1,2.0,Colts,Willie Richardson 50 yard pass from Earl Morrall (Lou Michaels kick),7,7
2,2.0,Colts,John Mackey 45 yard pass from Earl Morrall (Lou Michaels kick),7,14
3,2.0,Colts,Jimmy Orr 38 yard pass from Earl Morrall (Lou Michaels kick),7,21
4,3.0,Colts,Jimmy Orr 66 yard pass from Earl Morrall (Lou Michaels kick),7,28
