,Quarter,Tm,Detail,DEN,GNB
0,1.0,Broncos,Jim Turner 28 yard field goal,3,0
1,1.0,Packers,Donny Anderson 5 yard rush (Lou Michaels kick),3,7
2,2.0,Packers,Lou Michaels 36 yard field goal,3,10
3,2.0,Packers,John Brockington 52 yard rush (Lou Michaels kick),3,17
4,2.0,Packers,Lou Michaels 44 yard field goal,3,20
5,3.0,Broncos,Jim Turner 41 yard field goal,6,20
6,3.0,Packers,Scott Hunter 4 yard rush (Lou Michaels kick),6,27
7,3.0,Packers,Dave Hampton 4 yard rush (Lou Michaels kick),6,34
8,4.0,Broncos,Jerry Simmons 6 yard pass from Steve Ramsey (Jim Turner kick),13,34
