,Quarter,Time,Tm,Detail,PIT,NWE
0,1.0,12:01,Patriots,Sammy Morris 2 yard rush (Stephen Gostkowski kick),0,7
1,1.0,2:51,Steelers,Jeff Reed 20 yard field goal,3,7
2,2.0,6:48,Patriots,Stephen Gostkowski 29 yard field goal,3,10
3,2.0,1:55,Steelers,Santonio Holmes 19 yard pass from Ben Roethlisberger (Jeff Reed kick),10,10
4,3.0,5:39,Steelers,Jeff Reed 25 yard field goal,13,10
5,3.0,5:04,Steelers,Hines Ward 11 yard pass from Ben Roethlisberger (Jeff Reed kick),20,10
6,3.0,2:50,Steelers,Jeff Reed 20 yard field goal,23,10
7,4.0,5:43,Steelers,Jeff Reed 45 yard field goal,26,10
8,4.0,2:44,Steelers,Gary Russell 1 yard rush (Jeff Reed kick),33,10
