,Quarter,Tm,Detail,GNB,NYG
0,1,Giants,Howie Livingston 34 yard interception return (Ken Strong kick),0,7
1,2,Giants,Frank Liebel 36 yard pass from Arnie Herber (Ken Strong kick),0,14
2,3,Giants,Ken Strong 8 yard field goal,0,17
3,4,Giants,Bill Paschal 1 yard rush (Ken Strong kick),0,24
