,Quarter,Tm,Detail,MIA,CHI
0,1,Bears,Brad Muster 3 yard rush (Kevin Butler kick),0,7
1,2,Dolphins,Pete Stoyanovich 35 yard field goal,3,7
2,2,Bears,Kevin Butler 32 yard field goal,3,10
3,3,Bears,Kevin Butler 19 yard field goal,3,13
4,4,Dolphins,Pete Stoyanovich 22 yard field goal,6,13
5,4,Dolphins,Ferrell Edmunds 2 yard pass from Dan Marino (Pete Stoyanovich kick),13,13
6,OT,Dolphins,Pete Stoyanovich 27 yard field goal,16,13
