,Quarter,Tm,Detail,RAM,ATL
0,2.0,Rams,Tom Dempsey 33 yard field goal,3,0
1,2.0,Rams,Tom Dempsey 42 yard field goal,6,0
2,3.0,Rams,Tom Dempsey 17 yard field goal,9,0
3,4.0,Rams,Ron Jessie 13 yard pass from James Harris (Tom Dempsey kick),16,0
4,4.0,Falcons,Jim Mitchell 9 yard pass from Pat Sullivan (Nick Mike-Mayer kick),16,7
