,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Virgil Carter 7 yard rush (Mac Percival kick),0,7
1,2.0,Bears,Virgil Carter 1 yard rush (Mac Percival kick),0,14
2,2.0,Bears,Mac Percival 42 yard field goal,0,17
3,2.0,Bears,Bob Wallace 18 yard pass from Virgil Carter (Mac Percival kick),0,24
4,2.0,49ers,Gary Lewis 1 yard rush,6,24
5,3.0,Bears,Mac Percival 15 yard field goal,6,27
6,3.0,49ers,Bob Windsor 18 yard pass from John Brodie (Dennis Patera kick),13,27
7,3.0,49ers,Clifton McNeil 28 yard pass from John Brodie,19,27
