,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Paul McFadden 44 yard field goal,0,3
1,1.0,Cardinals,Roy Green 20 yard pass from Neil Lomax (Jim Gallery kick),7,3
2,2.0,Cardinals,J.T. Smith 6 yard pass from Neil Lomax (Jim Gallery kick),14,3
3,2.0,Cardinals,Jim Gallery 20 yard field goal,17,3
4,2.0,Cardinals,J.T. Smith 32 yard pass from Neil Lomax (Jim Gallery kick),24,3
5,2.0,Cardinals,Earl Ferrell 35 yard rush (Jim Gallery kick),31,3
6,3.0,Eagles,Mike Quick 16 yard pass from Randall Cunningham (Paul McFadden kick),31,10
7,4.0,Eagles,Mike Quick 27 yard pass from Randall Cunningham (Paul McFadden kick),31,17
8,4.0,Eagles,"Safety, Cater stepped out of end zone",31,19
