,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Tuffy Leemans 5 yard rush (Ward Cuff kick),0,7
1,2.0,Packers,Don Hutson 4 yard pass from Cecil Isbell (Don Hutson kick),7,7
2,2.0,Giants,Will Walls 60 yard pass from Andy Marefos (Ward Cuff kick),7,14
3,2.0,Packers,Don Hutson 5 yard pass from Cecil Isbell (Don Hutson kick),14,14
4,3.0,Giants,Tuffy Leemans 1 yard rush (Ward Cuff kick),14,21
5,4.0,Packers,Tony Canadeo 7 yard rush (Don Hutson kick),21,21
