,Quarter,Tm,Detail,NYJ,IND
0,1.0,Colts,Gary Hogeboom 2 yard rush (Dean Biasucci kick),0,7
1,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),7,7
2,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),14,7
3,2.0,Colts,Dean Biasucci 51 yard field goal,14,10
4,3.0,Colts,Clarence Verdin 44 yard pass from Chris Chandler (Dean Biasucci kick),14,17
5,3.0,Colts,Chris Chandler 29 yard rush (Dean Biasucci kick),14,24
6,3.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),14,31
7,4.0,Colts,George Wonsley 3 yard rush (Dean Biasucci kick),14,38
