,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),7,0
1,1.0,Rams,Joe Marconi 1 yard rush (Les Richter kick),7,7
2,1.0,Rams,Will Sherman 95 yard interception return (Les Richter kick),7,14
3,2.0,Rams,Joe Marconi 3 yard rush (Les Richter kick),7,21
4,2.0,Rams,Bob Boyd 56 yard pass from Norm Van Brocklin (Les Richter kick),7,28
5,2.0,Rams,Joe Marconi 2 yard rush (Les Richter kick),7,35
6,3.0,Packers,Al Carmichael 13 yard pass from Tobin Rote (Fred Cone kick),14,35
7,3.0,Rams,Leon Clarke 9 yard pass from Norm Van Brocklin (Les Richter kick),14,42
8,3.0,Rams,Bob Boyd 56 yard pass from Norm Van Brocklin (Les Richter kick),14,49
9,4.0,Packers,Fred Cone 5 yard rush (Fred Cone kick),21,49
