,Quarter,Tm,Detail,NWE,CLE
0,1.0,Browns,Keenan McCardell 10 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,2.0,Patriots,Matt Bahr 23 yard field goal,3,7
2,2.0,Browns,Keenan McCardell 10 yard pass from Vinny Testaverde (Matt Stover kick),3,14
3,2.0,Patriots,Kevin Turner 6 yard pass from Drew Bledsoe (Matt Bahr kick),10,14
4,3.0,Patriots,Matt Bahr 34 yard field goal,13,14
5,4.0,Browns,Matt Stover 23 yard field goal,13,17
6,4.0,Patriots,Leonard Russell 4 yard rush (Matt Bahr kick),20,17
